Block; Number; Stack x64; Stack x16
white_terracotta;1042;16 stack and 18;65 stack and 2
light_gray_terracotta;108;1 stack and 44;6 stack and 12
stripped_acacia_wood;386;6 stack and 2;24 stack and 2
lime_terracotta;317;4 stack and 61;19 stack and 13
shroomlight;36;0 stack and 36;2 stack and 4
soul_sand;38;0 stack and 38;2 stack and 6
brown_terracotta;36;0 stack and 36;2 stack and 4
cyan_terracotta;168;2 stack and 40;10 stack and 8
comparator;40;0 stack and 40;2 stack and 8
hopper;346;5 stack and 26;21 stack and 10
redstone_wire;189;2 stack and 61;11 stack and 13
repeater;40;0 stack and 40;2 stack and 8
ladder;6;0 stack and 6;0 stack and 6
dropper;38;0 stack and 38;2 stack and 6
bubble_column;1344;21 stack and 0;84 stack and 0
purple_terracotta;144;2 stack and 16;9 stack and 0
magenta_terracotta;144;2 stack and 16;9 stack and 0
moss_block;203;3 stack and 11;12 stack and 11
sticky_piston;2;0 stack and 2;0 stack and 2
redstone_block;1;0 stack and 1;0 stack and 1
dark_prismarine;36;0 stack and 36;2 stack and 4
waxed_oxidized_copper;60;0 stack and 60;3 stack and 12
red_terracotta;630;9 stack and 54;39 stack and 6
netherrack;826;12 stack and 58;51 stack and 10
oak_stairs;38;0 stack and 38;2 stack and 6
oak_slab;114;1 stack and 50;7 stack and 2
cobblestone;190;2 stack and 62;11 stack and 14
redstone_wall_torch;38;0 stack and 38;2 stack and 6
black_terracotta;36;0 stack and 36;2 stack and 4
pink_terracotta;180;2 stack and 52;11 stack and 4
red_stained_glass;626;9 stack and 50;39 stack and 2
sea_lantern;15;0 stack and 15;0 stack and 15
rail;1;0 stack and 1;0 stack and 1
chain;10;0 stack and 10;0 stack and 10
magma_block;1;0 stack and 1;0 stack and 1
dark_oak_wall_sign;42;0 stack and 42;2 stack and 10
glass;816;12 stack and 48;51 stack and 0
dripstone_block;36;0 stack and 36;2 stack and 4
raw_iron_block;36;0 stack and 36;2 stack and 4
barrel;38;0 stack and 38;2 stack and 6
spruce_trapdoor;1;0 stack and 1;0 stack and 1
chest;76;1 stack and 12;4 stack and 12
water;152;2 stack and 24;9 stack and 8
